context,response,quality_score,is_good
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: I want to track my package that was supposed to arrive yesterday",I understand your frustration. Let me help you find UltraSound Headphones with excellent durability.,4.8033931828509635,True
"Category: Home, Sentiment: negative, Outcome: purchase, Message: Do you ship to rural areas and what are the delivery times?",I understand your frustration. Let me help you find SmartCook Blender with high customer ratings.,4.776869092605584,True
"Category: Clothing, Sentiment: positive, Outcome: purchase, Message: My previous purchase broke after 2 weeks, need replacement",I'm glad you're interested! I recommend ComfortFit Shirt which has excellent reviews.,4.776195537826282,True
"Category: Electronics, Sentiment: negative, Outcome: purchase, Message: The jeans I bought last month tore very easily and I'm disappointed",I understand your frustration. Let me help you find TechPro Laptop with long warranty coverage.,4.7709780519071,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: Can you recommend something within $50-100 budget?",I understand your frustration. Let me help you find SmartView Monitor with outstanding performance.,4.688430577464335,True
"Category: Clothing, Sentiment: negative, Outcome: purchase, Message: Looking for eco-friendly and sustainable clothing options",I understand your frustration. Let me help you find ActiveWear Jacket with excellent durability.,4.681760932569907,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: I'm allergic to certain materials, what are the fabric contents?",I understand your frustration. Let me help you find TechPro Laptop with premium quality materials.,4.59170334372466,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: The product description doesn't match what I received",I understand your frustration. Let me help you find UltraSound Headphones with high customer ratings.,4.576286400124075,True
"Category: Sports, Sentiment: negative, Outcome: abandon, Message: Can I add another item to my existing order that hasn't shipped?",I understand your frustration. Let me help you find FlexFit Yoga Mat with premium quality materials.,4.542658413367883,True
"Category: Clothing, Sentiment: negative, Outcome: abandon, Message: Can you recommend kitchen appliances that are energy efficient?",I understand your frustration. Let me help you find TrekPro Jeans with excellent durability.,4.52758614525854,True
"Category: Clothing, Sentiment: negative, Outcome: purchase, Message: I want to cancel my order before it ships tomorrow",I understand your frustration. Let me help you find TrekPro Jeans with high customer ratings.,4.525183225369281,True
"Category: Clothing, Sentiment: negative, Outcome: abandon, Message: Can you recommend kitchen appliances that are energy efficient?",I understand your frustration. Let me help you find ActiveWear Jacket with outstanding performance.,4.52487439158175,True
"Category: Clothing, Sentiment: positive, Outcome: abandon, Message: The quality of materials seems poor compared to previous versions",I'm glad you're interested! I recommend ActiveWear Jacket which has excellent reviews.,4.5030962158437875,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: What payment methods do you accept for international orders?",I understand your frustration. Let me help you find TechPro Laptop with high customer ratings.,4.471148390578342,True
"Category: Clothing, Sentiment: negative, Outcome: escalate, Message: The item was listed as new but appears to be refurbished",I understand your frustration. Let me help you find ComfortFit Shirt with long warranty coverage.,4.470612703303279,True
"Category: Clothing, Sentiment: negative, Outcome: abandon, Message: Looking for high-rated items with good reviews",I understand your frustration. Let me help you find ComfortFit Shirt with outstanding performance.,4.458810042504443,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: Can you help me find wireless headphones with noise cancellation?",I understand your frustration. Let me help you find TechPro Laptop with high customer ratings.,4.453902779801196,True
"Category: Electronics, Sentiment: negative, Outcome: purchase, Message: Can I add another item to my existing order that hasn't shipped?",I understand your frustration. Let me help you find SmartView Monitor with outstanding performance.,4.449916961876849,True
"Category: Clothing, Sentiment: positive, Outcome: escalate, Message: I received the wrong item and need to exchange it immediately",I'm glad you're interested! I recommend ComfortFit Shirt which has excellent reviews.,4.4479217781983,True
"Category: Clothing, Sentiment: negative, Outcome: abandon, Message: I need running shoes that are comfortable for long distances",I'm sorry about that. Our TrekPro Jeans has excellent outstanding performance ratings.,4.445617020353625,True
"Category: Electronics, Sentiment: positive, Outcome: abandon, Message: The product description doesn't match what I received",I'm glad you're interested! I recommend UltraSound Headphones which has excellent reviews.,4.442414935553323,True
"Category: Electronics, Sentiment: neutral, Outcome: abandon, Message: The product description doesn't match what I received",I can help you with that. I recommend TechPro Laptop for your needs.,4.432975566801608,True
"Category: Clothing, Sentiment: negative, Outcome: abandon, Message: Can you price match if I found this cheaper elsewhere?",I understand your frustration. Let me help you find ActiveWear Jacket with premium quality materials.,4.4309104102731265,True
"Category: Clothing, Sentiment: negative, Outcome: escalate, Message: The product photo looks different from what I actually received",I understand your frustration. Let me help you find ComfortFit Shirt with premium quality materials.,4.42865731234407,True
"Category: Electronics, Sentiment: positive, Outcome: escalate, Message: What is the warranty period for electronic devices?",Great choice! Our TechPro Laptop is highly rated for premium quality materials.,4.428448736146535,True
"Category: Clothing, Sentiment: neutral, Outcome: purchase, Message: The promotional code isn't working at checkout, please help",I can help you with that. I recommend TrekPro Jeans for your needs.,4.426966882305916,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: The jeans I bought last month tore very easily and I'm disappointed",I understand your frustration. Let me help you find SmartView Monitor with outstanding performance.,4.415736826707942,True
"Category: Electronics, Sentiment: positive, Outcome: purchase, Message: Can you send me the instruction manual for this product?",I'm glad you're interested! I recommend TechPro Laptop which has excellent reviews.,4.397411125525071,True
"Category: Electronics, Sentiment: negative, Outcome: purchase, Message: I want to cancel my order before it ships tomorrow",I understand your frustration. Let me help you find UltraSound Headphones with excellent durability.,4.393874511914841,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: I received the wrong item and need to exchange it immediately",I understand your frustration. Let me help you find SmartView Monitor with long warranty coverage.,4.393115410650991,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: Can I exchange this jacket for a different style?",I understand your frustration. Let me help you find TechPro Laptop with excellent durability.,4.387989848572378,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: What payment methods do you accept for international orders?",I understand your frustration. Let me help you find TechPro Laptop with premium quality materials.,4.386394742140581,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: What is the warranty period for electronic devices?",I understand your frustration. Let me help you find UltraSound Headphones with long warranty coverage.,4.3673753312878425,True
"Category: Clothing, Sentiment: negative, Outcome: abandon, Message: I'm allergic to certain materials, what are the fabric contents?",I understand your frustration. Let me help you find ActiveWear Jacket with excellent durability.,4.36234661038613,True
"Category: Electronics, Sentiment: positive, Outcome: abandon, Message: Can I add another item to my existing order that hasn't shipped?",I'm glad you're interested! I recommend TechPro Laptop which has excellent reviews.,4.357310703061319,True
"Category: Electronics, Sentiment: positive, Outcome: purchase, Message: I want to cancel my order before it ships tomorrow",I'm glad you're interested! I recommend SmartView Monitor which has excellent reviews.,4.344099972763672,True
"Category: Clothing, Sentiment: positive, Outcome: abandon, Message: I need running shoes that are comfortable for long distances",I'm glad you're interested! I recommend ActiveWear Jacket which has excellent reviews.,4.343594037240461,True
"Category: Electronics, Sentiment: negative, Outcome: abandon, Message: The product description doesn't match what I received",I understand your frustration. Let me help you find TechPro Laptop with outstanding performance.,4.343303455267545,True
"Category: Electronics, Sentiment: positive, Outcome: escalate, Message: What is your policy on returns for opened electronics?",I'm glad you're interested! I recommend SmartView Monitor which has excellent reviews.,4.3400239857280045,True
"Category: Electronics, Sentiment: negative, Outcome: purchase, Message: Looking for eco-friendly and sustainable clothing options",I understand your frustration. Let me help you find TechPro Laptop with high customer ratings.,4.338896364616092,True
"Category: Electronics, Sentiment: neutral, Outcome: escalate, Message: The product arrived on time but the box was severely damaged",Let me suggest UltraSound Headphones which fits your requirements.,4.338809812500583,True
"Category: Electronics, Sentiment: negative, Outcome: purchase, Message: I need help choosing between these two smartphone models",I understand your frustration. Let me help you find SmartView Monitor with premium quality materials.,4.334882699126535,True
"Category: Electronics, Sentiment: neutral, Outcome: abandon, Message: I need running shoes that are comfortable for long distances",I can help you with that. I recommend SmartView Monitor for your needs.,4.333189823470737,True
"Category: Electronics, Sentiment: negative, Outcome: escalate, Message: Can I add another item to my existing order that hasn't shipped?",I understand your frustration. Let me help you find SmartView Monitor with premium quality materials.,4.332097123893551,True
"Category: Electronics, Sentiment: negative, Outcome: purchase, Message: I want to file a complaint about the rude customer service agent",I understand your frustration. Let me help you find TechPro Laptop with high customer ratings.,4.3315182189408725,True
"Category: Electronics, Sentiment: positive, Outcome: abandon, Message: Looking for waterproof jackets suitable for rainy weather conditions",I'm glad you're interested! I recommend SmartView Monitor which has excellent reviews.,4.331416692316704,True
"Category: Electronics, Sentiment: positive, Outcome: abandon, Message: The customer service representative was very helpful yesterday",I'm glad you're interested! I recommend TechPro Laptop which has excellent reviews.,4.330631534977826,True
